GS,CLE,-400,300,215.5
SA,MIN,115,-125,222.5
LAC,MEM,-114,100,221.5
PHI,DEN,280,-310,210.5
TOR,UTA,340,-450,213.5
WAS,MIA,240,-300,203.5
